CGPA,Package
6.87,12.0
9.75,16.24
8.66,11.71
7.99,17.69
5.78,11.29
5.78,15.79
5.29,5.63
9.33,21.34
8.01,20.23
8.54,21.51
5.1,14.14
9.85,24.21
9.16,26.16
6.06,10.09
5.91,11.86
5.92,6.09
6.52,6.61
7.62,11.28
7.16,8.6
6.46,9.82
8.06,10.91
5.7,6.03
6.46,18.21
6.83,6.94
7.28,18.0
8.93,11.65
6.0,16.95
7.57,21.09
7.96,18.37
5.23,12.26
8.04,8.13
5.85,17.37
5.33,14.69
9.74,27.18
9.83,22.79
9.04,15.27
6.52,18.17
5.49,8.69
8.42,17.9
7.2,8.64
5.61,15.95
7.48,9.59
5.17,7.5
9.55,20.21
6.29,15.9
8.31,18.6
6.56,9.61
7.6,7.61
7.73,19.44
5.92,17.58
9.85,25.81
8.88,17.05
9.7,27.23
9.47,17.23
7.99,16.38
9.61,18.78
5.44,10.31
5.98,15.25
5.23,10.74
6.63,10.83
6.94,10.52
6.36,6.84
9.14,19.8
6.78,9.9
6.4,8.3
7.71,17.79
5.7,13.47
9.01,22.56
5.37,10.78
9.93,27.69
8.86,25.45
5.99,15.66
5.03,11.42
9.08,14.6
8.53,25.3
8.65,13.39
8.86,12.45
5.37,10.12
6.79,7.56
5.58,16.5
9.32,20.29
8.12,17.16
6.65,15.37
5.32,10.61
6.55,6.97
6.63,14.75
8.65,21.04
8.19,15.02
9.44,23.74
7.36,10.7
5.6,8.08
8.57,11.34
8.8,15.35
7.81,21.04
8.85,23.5
7.47,13.19
7.61,16.58
7.14,17.43
5.13,7.6
5.54,7.4
5.16,15.19
8.18,18.28
6.57,19.47
7.54,12.63
9.54,22.95
6.25,9.03
7.05,10.73
8.78,17.77
6.14,10.06
5.38,7.18
6.45,9.84
5.81,6.23
9.65,23.25
9.04,17.94
8.17,9.71
9.36,12.57
9.02,10.87
5.93,13.2
9.46,11.24
7.7,19.32
9.04,9.41
9.48,14.21
6.59,18.33
5.55,13.53
6.14,7.04
7.14,18.87
9.09,18.05
9.3,25.05
5.03,11.07
7.55,17.85
7.09,21.18
6.11,8.95
5.6,12.59
6.69,12.85
9.71,10.48
6.62,6.81
7.59,9.4
8.52,19.58
6.82,14.56
9.86,20.77
9.81,10.44
6.26,12.14
7.49,21.34
6.5,11.67
6.42,14.44
5.18,13.26
8.05,20.67
7.51,15.31
5.26,14.29
6.39,11.39
9.54,26.5
6.2,9.18
5.72,8.93
7.45,8.24
9.93,25.73
6.21,11.39
8.36,12.19
8.81,12.89
6.19,17.35
8.64,23.05
6.84,14.41
8.16,18.21
8.17,15.92
7.68,13.7
5.45,15.43
9.18,11.49
6.6,12.12
5.93,10.02
5.2,10.38
7.95,15.23
8.39,17.1
5.08,6.5
7.56,15.32
6.13,9.1
8.23,11.26
5.87,6.63
8.45,21.34
6.93,12.85
9.68,21.81
5.69,13.97
6.71,15.83
5.57,10.81
9.62,17.08
9.39,16.45
6.29,14.34
8.3,16.51
9.09,24.53
7.78,21.39
7.65,10.26
6.21,7.9
5.47,12.37
9.49,15.21
9.5,9.85
8.17,22.69
6.7,9.74
6.75,19.3
8.63,21.01
9.49,23.97
9.44,13.24
8.9,13.07
8.21,16.77
5.42,7.29
5.81,9.36
9.49,15.59
8.03,10.59
5.05,7.12
5.51,14.2
8.32,11.1
5.03,5.32
5.8,13.1
7.74,22.85
8.46,14.06
8.26,10.22
6.12,13.1
8.56,24.08
6.19,15.9
6.63,14.88
8.73,14.23
8.25,17.19
9.25,10.94
8.29,19.55
7.84,19.21
5.47,16.03
6.84,10.4
6.33,6.56
6.22,13.01
