Age,Experience,Salary
50,30,110745.65890700984
47,26,92971.07455212998
56,38,128149.99289878258
46,28,96039.02588502111
45,25,86776.75935401015
34,14,54021.01693928481
28,7,32861.61725879432
57,37,116970.17675932826
41,23,82531.2208234297
22,3,26807.04656648729
29,10,41547.06269971991
37,16,71178.46366835818
35,15,64159.13342184182
33,12,51445.328496587834
44,25,86166.75453486615
36,17,60708.70635616113
49,29,101658.94897443269
55,37,125204.3619405464
23,3,23386.838657620672
53,34,119707.96936087793
44,26,96491.24628872066
43,22,82918.02167466057
46,27,97079.39791976365
43,22,80553.3342134231
43,25,88985.24577480012
27,6,34734.90036022205
36,17,64549.78551170161
58,38,130982.54151239834
54,33,111331.47285428664
29,10,42303.39314410052
26,7,32359.260710968643
25,7,32994.1336580736
27,8,37638.14732412999
53,33,117087.27341006197
51,31,108124.29654587098
56,35,116647.07680464475
37,16,59294.118598279325
34,13,53252.00741324722
51,30,108003.2030899337
40,20,79208.93083438392
38,20,69227.70500919143
40,19,73617.05739341018
49,31,105794.38261557222
47,28,97527.33764522945
58,39,128307.27436327143
47,26,92839.81025764126
44,25,86172.46162033912
30,12,49202.44722954694
33,15,62444.77352775363
22,3,25393.712559968102
22,1,24241.254832066938
55,37,126579.071689106
53,35,119523.55420849043
46,26,94658.68682253716
22,1,16172.605491754079
37,17,59741.914953717765
26,7,37888.51345439222
43,24,81114.0127457888
50,30,108364.80316589275
24,3,26752.441230025448
33,15,56451.43656286868
47,28,97191.73101063322
37,16,63465.384181627596
58,37,123733.48604773899
43,24,88121.56056804692
50,31,109386.00934474658
35,14,53171.115679559785
49,31,104530.67297865346
26,6,32889.57946208092
51,32,113921.74099291117
26,6,34956.85498694408
33,12,44507.24509542204
37,17,65124.01746685252
47,29,102418.02085101033
47,26,91100.12054764114
42,24,83367.76293380452
57,36,121259.13595103509
54,36,121076.06862472664
51,30,102562.71973797074
58,40,135979.79110918217
44,23,81917.89559266403
31,13,49891.52377405425
26,5,29303.92429991322
57,39,135436.74966214274
55,36,124075.83960547234
52,32,112766.59150335222
31,10,46358.75381390233
40,22,77159.05716640106
53,34,114579.80264919843
22,1,16070.012206839843
26,5,33774.680005655886
25,4,28386.01019384833
37,17,60998.08289191389
45,27,99357.95923515408
37,19,70004.14570666623
23,2,23460.134043560665
49,28,102657.01382013925
53,32,103813.79394962959
48,29,102863.79312183983
41,20,74742.2718048719
45,25,82734.32400815497
33,15,55602.41872242289
56,36,121636.1743750952
54,33,117036.95413030134
54,35,118971.28614996391
58,37,126944.3639430173
33,12,50431.61491148054
24,3,27763.712822917467
22,1,20063.0934698426
54,33,114988.566445352
31,13,49570.60099641122
50,30,105359.51824539313
34,15,67845.61541613773
33,12,53885.801859497944
52,33,111281.97164910255
23,5,34557.37967064019
56,36,120649.81913562815
44,23,86642.91212213306
38,20,73861.4005077462
47,29,101546.38725893668
29,9,42656.48915447932
50,29,101757.29472076522
47,27,94831.98087698502
31,11,44049.49774631051
47,28,95124.94290936839
55,36,123501.89109783465
28,8,36951.85705153975
25,6,29769.970334635287
32,14,64481.97170176406
50,30,112468.03627582372
57,36,125242.47228393884
46,25,92664.53521426646
42,24,83562.75007681048
57,36,119944.27718418626
31,10,44478.992521718574
58,38,129000.88966282365
30,12,52139.23267860886
45,25,84508.99049680047
56,38,134441.7415036865
56,36,123744.07415005661
57,37,121347.90989835437
39,20,74972.42438604658
53,32,108792.64741071883
45,27,92082.37970977023
44,23,81312.79433847658
53,34,115730.5421145425
58,40,140308.14707226254
33,14,56777.996015932324
34,13,56581.669417789766
44,24,89815.54284549443
46,27,95065.73101432243
56,37,122016.93994467599
51,31,103203.77494975152
38,17,65337.643448999515
41,22,83931.80894014584
46,25,93306.17645014888
43,23,84769.14188407833
34,16,63166.635849676124
40,21,77089.52691866281
57,36,122055.55401863602
33,13,51785.449263438364
40,20,70585.64926709446
33,14,61891.377449875356
30,12,50513.36290192198
28,9,40172.6042330287
49,28,104963.49960737744
35,15,66035.94729228676
52,34,124235.47505902512
40,19,71755.01765498627
37,18,68815.69231833828
26,6,34952.86776748443
56,37,130486.55539974332
33,15,59186.06953387018
46,28,95049.93542889589
42,24,83739.86125769782
57,39,134532.29434816664
44,26,93863.10557946397
37,18,67981.26966252856
35,17,64283.95966524083
52,34,115481.40338430904
26,6,36717.1170896658
56,38,125633.14116166333
44,24,83359.76669754196
50,30,110450.42632073737
32,12,51075.16341611898
39,20,74262.01372257386
33,14,58512.97635915322
30,9,39533.26892439625
31,10,47751.48800232943
38,18,67851.81828200768
59,40,137877.01761005202
28,10,39398.79769498946
34,13,55851.99856389839
30,11,46806.302286428174
48,30,101886.07010563
23,5,31314.033737638216
26,7,35055.03423143934
50,29,103898.0383944706
58,39,135297.1357623589
59,38,131874.48693266185
40,20,71758.88659485857
29,10,42874.76123496853
22,3,24877.874040255665
43,22,83881.63070472087
38,17,65327.13117219829
28,9,42093.56043858357
46,28,98574.76131918191
25,7,35992.69755516525
57,39,127463.15788770186
27,7,31754.903608411565
52,32,104222.2889593158
40,19,72816.68328616973
48,28,94907.42931855732
31,13,59410.17690714529
47,28,100462.34816339878
40,20,71454.39918266624
24,4,30405.39223132983
34,16,65412.494908511784
49,29,105656.17246477604
41,20,73075.78491348558
49,30,106648.16300467652
29,11,50707.001858027994
22,1,23212.5714492716
24,6,27428.771495100907
34,13,53847.09767927132
49,30,101967.97244646358
46,27,101092.37279527634
54,33,115973.17200156339
59,38,132173.74341314673
27,6,34929.066067104846
53,32,112625.85675322058
42,21,75910.13563711973
37,16,62160.47173145934
42,23,83714.54609350392
32,11,46554.24286808517
58,38,126500.48463071477
57,38,127882.96818116166
56,38,126184.5679739657
40,21,77649.4512705323
41,23,81671.38875659884
39,21,74945.42402152998
35,15,57217.12751905853
36,15,60518.287760136925
52,31,111164.89482157223
22,3,25452.614661836815
24,3,19919.269444733294
37,17,68579.25228303272
44,25,91431.42709586018
32,13,56161.82021919238
33,14,59750.83699090998
31,10,43317.038528651
53,32,110600.59169912054
37,16,68871.39054232158
29,10,49693.12114443542
59,40,134270.23431904794
33,15,60809.33427400548
45,27,97071.7996142805
49,28,104772.9338964606
29,10,45535.84116981423
49,28,95863.1393035639
57,36,122071.98221450741
47,29,110400.60997862997
29,9,38224.13622789617
49,28,99650.83736488274
49,29,108940.60032075735
58,38,126600.77027464664
57,38,120319.30149602098
48,29,93871.00820710941
38,17,64117.3581087085
30,12,44711.195742830205
54,36,125111.50201178751
41,20,76304.43232042961
34,13,48098.48813600489
49,31,102213.94732322406
50,30,108720.42147926052
34,13,55079.47716709649
56,36,127300.89403317167
27,6,36857.032305058645
39,18,66048.43788808023
26,6,35645.904197005664
46,26,94688.55319829013
23,5,23114.83713721112
31,10,41414.06501231439
51,32,117813.01146528407
26,7,32717.079286198783
54,33,115734.5633489993
22,1,17928.047755436335
39,18,70051.17185563302
53,33,113626.50579568124
32,13,56395.56187882955
42,23,86316.97253305877
47,28,98853.77370272283
46,25,87786.58086919093
43,23,82293.63347715356
48,27,91772.24090958707
34,16,60996.71209472142
54,36,116700.72439866824
55,36,123156.54159913721
56,35,121387.9946859735
22,4,29015.75588495579
42,24,82339.74262025651
27,6,30043.41409674637
49,29,106574.10410556877
38,17,62393.8086111445
26,5,36653.64865705702
52,32,108228.30865043798
26,7,32749.275111759278
59,40,137028.42953714123
24,5,31148.17458609319
44,24,91924.61044378352
58,40,128326.08754330936
58,38,130600.90628341526
31,10,45362.079337089555
31,11,44769.81583669812
40,22,85644.41867900323
38,20,74706.04939664926
42,21,78311.45267788228
35,16,63862.018676781554
30,12,44814.937198661704
22,4,22254.18192373692
34,16,61002.13652938714
25,4,28449.205042382855
22,4,29823.90311013473
53,34,113845.23631240283
55,34,114160.12604100592
49,30,106004.27910026052
52,34,115592.30596890341
29,11,41236.17680583015
47,28,95744.8735798515
55,34,116954.69603975577
24,3,24037.38947086576
33,14,56769.57481849969
22,4,22099.04131985997
26,6,32606.955763442988
51,32,113341.23513093365
51,32,101837.09709784853
38,19,70652.8300250823
44,26,87014.08778685567
36,15,60403.30493371599
58,40,129485.64532368374
42,23,83902.22360470917
35,17,69879.90915120038
23,5,26061.62263338681
32,13,50996.67719651678
59,41,135590.4459517016
55,35,120956.04645968838
59,41,133942.86118662174
55,37,123859.36653363424
39,18,67491.52926391952
51,30,104100.41751579092
36,17,66491.23396708834
48,29,103153.19148870466
55,34,113069.59805955208
59,39,132979.52429298894
54,36,131437.28476017356
45,25,94632.67527803607
36,16,61074.42714279046
51,30,105895.7105861916
38,19,71399.26520282894
26,8,39378.36415690607
50,31,106233.35624525322
25,5,29192.550492781622
31,11,45807.52814705845
38,19,74786.3157355492
31,12,51432.913641738145
38,17,67455.66814539675
41,22,84155.13743735453
45,26,96199.51958459508
26,5,33633.49409810568
55,36,126109.49224633622
27,7,40688.004269243276
23,4,23600.142578313797
34,16,61103.96581086522
32,12,53126.84499837016
44,23,81843.4112700637
37,17,64910.236786469315
52,31,109083.25166343343
32,14,55309.59339587134
37,19,71198.05624802959
29,9,38563.82483434528
25,6,32386.73587694841
25,5,30402.072198542537
46,26,97845.01310266409
24,6,31194.111677352492
53,32,109549.20868773348
24,4,29138.832178354358
48,29,91975.75318559958
50,32,109047.95463366614
53,33,112458.85961486232
40,20,75782.76497042012
42,23,87238.67876302188
26,6,37653.84359670405
39,19,72740.84305875703
49,29,97344.94886566777
43,23,82457.44018097641
42,23,82286.34962517241
27,7,37101.6462774064
22,2,21168.73962048129
26,6,30935.105616491015
33,15,55245.05467425059
47,28,95894.26930107073
55,37,122283.9593493034
35,17,69864.73098060819
47,28,96191.02418108012
48,30,104180.40816714877
30,12,52905.32422504279
47,29,101584.69485929796
43,24,83241.9920771643
51,31,110955.25508339786
38,17,67562.56135911011
47,26,86943.53679243712
57,38,132237.16430798284
22,1,21120.139109310057
29,10,45515.50145929075
56,37,130404.29045708664
36,15,63051.40311053768
43,25,92383.82542631862
35,15,63109.204772155594
47,26,95771.13197223205
49,28,94127.35146158855
44,23,79485.59822619914
35,14,60052.521448528605
45,26,96194.9522172254
23,4,24384.479807294745
47,27,92658.71146870196
35,15,60787.950410380545
28,7,32143.83572923213
